Property,Date,Unit,Price,Listing status,Beds,Baths,ft�
20 Pine Street,01/09/2017,#2705,"$998,500","Sold (asking: $1,095,000.00 -8.81%)",1 bed,1 bath,723
20 Pine Street,12/22/2016,#1211,"$1,335,000","Sold (asking: $1,395,000.00 -4.3%)",studio,1 bath,1223
20 Pine Street,12/21/2016,#618,"$2,218,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,2 beds,2 baths,
20 Pine Street,12/21/2016,#904,"$1,590,000","Sold (asking: $1,725,000.00 -7.83%)",1 bed,2 baths,1277
20 Pine Street,12/15/2016,#915,"$999,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,822
20 Pine Street,12/15/2016,#1515,"$1,050,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,822
20 Pine Street,12/14/2016,#1216,"$920,000","Sold (asking: $1,200,000.00 -23.33%)",studio,1 bath,1005
20 Pine Street,12/13/2016,#2604,"$1,450,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,1 bed,1.5 baths,1045
20 Pine Street,11/22/2016,#1109,"$815,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,662
20 Pine Street,11/20/2016,#2408,"$1,099,000",Sold (cannot find gov't record),studio,1 bath,927
20 Pine Street,11/18/2016,#1914,"$1,600,000","Sold (asking: $1,700,000.00 -5.88%)",1 bed,1 bath,988
20 Pine Street,11/15/2016,#706,"$1,299,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,1070
20 Pine Street,11/10/2016,#901,"$1,275,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,1005
20 Pine Street,10/28/2016,#1601,"$1,695,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,1005
20 Pine Street,10/28/2016,#1115,"$960,000","Sold (asking: $988,500.00 -2.88%)",studio,1 bath,822
20 Pine Street,10/27/2016,#1703,"$859,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,656
20 Pine Street,10/26/2016,#1509,"$849,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,662
20 Pine Street,10/24/2016,#1902,"$2,900,000","Sold (asking: $3,000,000.00 -3.33%)",2 beds,2 baths,1546
20 Pine Street,10/11/2016,#3102,"$1,950,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,1 bed,1.5 baths,1185
20 Pine Street,10/11/2016,#812,"$875,000","Sold (asking: $875,000.00)",studio,1 bath,784
20 Pine Street,10/07/2016,#2001,"$1,225,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,850
20 Pine Street,10/06/2016,#2013,"$918,000","Sold (asking: $950,000.00 -3.37%)",studio,1 bath,815
20 Pine Street,10/04/2016,#1911,$0,Recorded Closing,,1 bath,595
20 Pine Street,10/03/2016,#2307,"$1,230,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,studio,1 bath,926
20 Pine Street,09/29/2016,#1410,"$1,179,000",Sold (cannot find gov't record),studio,1 bath,1100
20 Pine Street,09/22/2016,#804,"$1,720,000",Recorded Closing,2 beds,2 baths,1277
20 Pine Street,09/21/2016,#2312,$0,Recorded Closing,,1 bath,675
20 Pine Street,09/14/2016,#1410,"$1,150,000","Sold (asking: $1,179,000.00 -2.46%)",studio,1 bath,1101
20 Pine Street,09/13/2016,#605,"$1,380,000",<div class='listing-removed'>No Longer Available on StreetEasy</div>,1 bed,1 bath,1150
